model,total_loss,dev_right_tokens,dev_all_tokens,dev_token_accuracy,dev_time_seconds,dev_speed_st_per_s,dev_accuracy,dev_precision,dev_recall,dev_f1,test_right_tokens,test_all_tokens,test_token_accuracy,test_time_seconds,test_speed_st_per_s,test_accuracy,test_precision,test_recall,test_f1
bioes_word_emb,18787.99493408203,22439,24592,0.9124512036434613,2.09,570.18,0.9125,0.7663,0.7844,0.7752,22519,24696,0.9118480725623582,2.1,568.05,0.9118,0.764,0.7901,0.7768
bioes_word,18494.594360351562,22579,24592,0.918144111906311,3.09,387.12,0.9181,0.8035,0.7636,0.7831,22524,24696,0.9120505344995141,2.46,495.56,0.9121,0.7821,0.7557,0.7687
bioes_syllable_emb,19953.03973388672,32384,36083,0.8974863509131724,3.07,387.89,0.8975,0.7307,0.7149,0.7227,32755,36673,0.8931639080522455,3.08,388.4,0.8932,0.7182,0.706,0.712
bioes_syllable,25125.784301757812,32402,36083,0.8979852007870742,4.69,253.72,0.898,0.743,0.6924,0.7168,32881,36673,0.8965996782373954,3.3,363.9,0.8966,0.7364,0.7048,0.7203
bio_word_emb,11611.695861816406,22748,24592,0.9250162654521795,2.26,529.33,0.925,0.7938,0.7789,0.7863,22722,24696,0.9200680272108843,2.42,506.26,0.9201,0.7759,0.7722,0.774
bio_word,18354.772888183594,22696,24592,0.9229017566688354,2.28,522.97,0.9229,0.7964,0.7541,0.7747,22693,24696,0.9188937479753806,2.35,519.96,0.9189,0.778,0.7438,0.7605
bio_syllable_emb,20599.02459716797,32526,36083,0.9014217221406202,3.18,374.75,0.9014,0.7178,0.7048,0.7112,32817,36673,0.894854525127478,3.28,366.53,0.8949,0.7103,0.7085,0.7094
bio_syllable,17966.243774414062,32605,36083,0.9036111188094116,4.91,242.08,0.9036,0.7288,0.6964,0.7122,32887,36673,0.8967632863414501,5.78,206.16,0.8968,0.7137,0.6997,0.7066
